month_number,years,year_number,month_in_year,monthly_rent,cumulative_rent,cumulative_buying_costs,monthly_payment,monthly_interest,cumulative_principal_remaining,cumulative_equity,cumulative_payment,cumulative_interest,house_value,cumulative_appreciation,cumulative_depreceation,house_value_yearly,monthly_utilities,cumulative_utilities,monthly_property_tax,cumulative_property_tax,monthly_maintenance,cumulative_maintenance,cumulative_selling_costs
94,7.833333333333333,8,10,1751.6981495391524,152649.97805651117,8000,1110.721078865162,641.0387344684058,153379.6139280206,46620.38607197939,104407.78141332524,67787.39534134677,2e5,0,-0,2e5,510,47940,833.3333333333334,78333.33333333334,510,47940,1e4
95,7.916666666666667,8,11,1754.5912214495395,154404.5692779607,8000,1110.721078865162,639.0817247000858,152907.97457385552,47092.02542614448,105518.5024921904,68426.47706604686,2e5,0,-0,2e5,510,48450,833.3333333333334,79166.66666666667,510,48450,1e4
96,8,8,12,1757.4890715033987,156162.0583494641,8000,1110.721078865162,637.116560724398,152434.37005571474,47565.62994428526,106629.22357105557,69063.59362677125,2e5,0,-0,2e5,510,48960,833.3333333333334,8e4,510,48960,1e4
97,8.083333333333334,9,1,1760.391707592223,157922.45005705633,8000,1110.721078865162,635.1432085654781,151958.79218541505,48041.20781458495,107739.94464992073,69698.73683533673,2e5,0,-0,2e5,510,49470,833.3333333333334,80833.33333333334,510,49470,1e4
98,8.166666666666666,9,2,1763.2991376205375,159685.74919467687,8000,1110.721078865162,633.161634105896,151481.23274065577,48518.767259344226,108850.66572878588,70331.89846944263,2e5,0,-0,2e5,510,49980,833.3333333333334,81666.66666666667,510,49980,1e4
99,8.25,9,3,1766.2113695059234,161451.96056418278,8000,1110.721078865162,631.1718030860657,151001.68346487667,48998.31653512333,109961.38680765104,70963.0702725287,2e5,0,-0,2e5,510,50490,833.3333333333334,82500,510,50490,1e4
100,8.333333333333334,9,4,1769.128411179038,163221.0889753618,8000,1110.721078865162,629.1736811036528,150520.13606711515,49479.86393288485,111072.10788651621,71592.24395363235,2e5,0,-0,2e5,510,51e3,833.3333333333334,83333.33333333334,510,51e3,1e4
101,8.416666666666666,9,5,1772.0502705836373,164993.13924594547,8000,1110.721078865162,627.1672336129798,150036.58222186295,49963.41777813705,112182.82896538137,72219.41118724534,2e5,0,-0,2e5,510,51510,833.3333333333334,84166.66666666667,510,51510,1e4
102,8.5,9,6,1774.976955676596,166768.11620162206,8000,1110.721078865162,625.1524259244289,149551.0135689222,50448.98643107779,113293.55004424653,72844.56361316975,2e5,0,-0,2e5,510,52020,833.3333333333334,85e3,510,52020,1e4
103,8.583333333333334,9,7,1777.9084744279305,168546.02467604997,8000,1110.721078865162,623.1292232038426,149063.42171326088,50936.578286739124,114404.2711231117,73467.69283637361,2e5,0,-0,2e5,510,52530,833.3333333333334,85833.33333333334,510,52530,1e4
104,8.666666666666666,9,8,1780.844834820821,170326.8695108708,8000,1110.721078865162,621.0975904719203,148573.7982248676,51426.20177513239,115514.99220197686,74088.79042684552,2e5,0,-0,2e5,510,53040,833.3333333333334,86666.66666666667,510,53040,1e4
105,8.75,9,9,1783.7860448516321,172110.65555572245,8000,1110.721078865162,619.0574926036151,148082.13463860605,51917.86536139395,116625.71328084201,74707.84791944914,2e5,0,-0,2e5,510,53550,833.3333333333334,87500,510,53550,1e4
106,8.833333333333334,9,10,1786.7321125299352,173897.38766825237,8000,1110.721078865162,617.0088943275252,147588.4224540684,52411.57754593159,117736.43435970719,75324.85681377666,2e5,0,-0,2e5,510,54060,833.3333333333334,88333.33333333334,510,54060,1e4
107,8.916666666666666,9,11,1789.68304587853,175687.0707141309,8000,1110.721078865162,614.951760225285,147092.65313542853,52907.346864571475,118847.15543857234,75939.80857400195,2e5,0,-0,2e5,510,54570,833.3333333333334,89166.66666666667,510,54570,1e4
